MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing,,
FR,France,2014FR16RFOP003,12,Interregional Massif Central - ERDF,ERDF,AXE 4,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"576,800.00",576800,1153600,50%,,
FR,France,2014FR16RFOP003,12,Interregional Massif Central - ERDF,ERDF,AXE 4,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"823,200.00",823200,1646400,50%,,
FR,France,2014FR16RFOP004,15,Interregional Pyrénées - ERDF,ERDF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"3,708,000.00",3708000,7416000,50%,,
FR,France,2014FR16RFOP004,15,Interregional Pyrénées - ERDF,ERDF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"5,292,000.00",5292000,10584000,50%,,
FR,France,2014FR16RFOP004,15,Interregional Pyrénées - ERDF,ERDF,2,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"6,231,500.00",6231500,12463000,50%,,
FR,France,2014FR16RFOP004,15,Interregional Pyrénées - ERDF,ERDF,2,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Transition,VOID,VOID,VOID,VOID,"8,893,500.00",8893500,17787000,50%,,
FR,France,2014FR16RFOP004,15,Interregional Pyrénées - ERDF,ERDF,3,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"360,500.00",360500,721000,50%,,
FR,France,2014FR16RFOP004,15,Interregional Pyrénées - ERDF,ERDF,3,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"514,500.00",514500,1029000,50%,,
FR,France,2014FR16RFOP005,12,Interregional Rhône - ERDF,ERDF,I,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,"3,798,640.00",3798640,7597280,50%,,
FR,France,2014FR16RFOP005,12,Interregional Rhône - ERDF,ERDF,I,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Transition,VOID,VOID,VOID,VOID,"5,421,360.00",5421360,10842720,50%,,
FR,France,2014FR16RFOP005,12,Interregional Rhône - ERDF,ERDF,II,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,More developed,VOID,VOID,VOID,VOID,"4,115,880.00",4115880,8231760,50%,,
FR,France,2014FR16RFOP005,12,Interregional Rhône - ERDF,ERDF,II,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Transition,VOID,VOID,VOID,VOID,"5,874,120.00",5874120,11748240,50%,,
FR,France,2014FR16RFOP005,12,Interregional Rhône - ERDF,ERDF,III,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"5,273,600.00",5273600,10547200,50%,,
FR,France,2014FR16RFOP005,12,Interregional Rhône - ERDF,ERDF,III,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Transition,VOID,VOID,VOID,VOID,"7,526,400.00",7526400,15052800,50%,,
FR,France,2014FR16RFOP005,12,Interregional Rhône - ERDF,ERDF,IV,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"407,880.00",407880,815760,50%,,
FR,France,2014FR16RFOP005,12,Interregional Rhône - ERDF,ERDF,IV,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"582,120.00",582120,1164240,50%,,
FR,France,2014FR16RFOP006,12,Interregional Alsace - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"23,783,861.00",35675791,59459652,40%,,
FR,France,2014FR16RFOP006,12,Interregional Alsace - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"15,855,907.00",36997116,52853023,30%,,
FR,France,2014FR16RFOP006,12,Interregional Alsace - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"17,767,337.00",41457119,59224456,30%,,
FR,France,2014FR16RFOP006,12,Interregional Alsace - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"26,756,844.00",62432635,89189479,30%,,
FR,France,2014FR16RFOP006,12,Interregional Alsace - ERDF,ERDF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"3,043,541.00",3043541,6087082,50%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,"136,924,000.00",55200643,192124643,7127.00%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,"69,964,000.00",17491000,87455000,80%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,"133,135,184.00",122426012,255561196,521.00%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,"135,780,000.00",93884286,229664286,5912.00%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,5,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,"5,990,000.00",2567143,8557143,70%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,"151,460,000.00",64911428,216371428,70%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,6,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,"166,960,000.00",227640000,394600000,4231.00%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"64,820,000.00",27780000,92600000,70%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,7,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,"51,138,000.00",21916286,73054286,70%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,8,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,"78,064,816.00",92141217,170206033,4586.00%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,8,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,"21,970,000.00",9415714,31385714,70%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,8,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,"90,250,000.00",60166667,150416667,60%,,
FR,France,2014FR16RFOP007,12,Réunion – ERDF,ERDF,9,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"24,000,061.00",4235305,28235366,85%,,
GR,Greece,2014GR16M2OP009,2,Ionian Islands - ERDF/ESF,ESF,7,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"478,629.00",119658,598287,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,13,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"2,096,544.00",524136,2620680,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,13,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"636,731.00",159183,795914,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,13,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"363,161.00",90791,453952,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,14,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"105,096.00",105096,210192,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,15,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"51,544.00",51544,103088,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,4,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,"111,815,654.00",27953914,139769568,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,4,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"33,958,978.00",8489745,42448723,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,4,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Transition,VOID,VOID,VOID,VOID,"19,368,573.00",4842144,24210717,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,5,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Transition,VOID,VOID,VOID,VOID,"5,605,111.00",5605111,11210222,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ERDF,6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"2,748,996.00",2748996,5497992,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,"66,713,492.00",16678374,83391866,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,"17,590,399.00",4397600,21987999,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,"17,454,499.00",4363625,21818124,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,10,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"2,274,324.00",568581,2842905,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,10,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"599,673.00",149919,749592,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,10,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"595,040.00",148760,743800,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,11,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"172,200.00",172200,344400,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,12,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"48,544.00",48544,97088,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,2,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,"5,051,195.00",5051195,10102390,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,3,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,"1,423,951.00",1423951,2847902,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,7,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,"54,583,767.00",13645942,68229709,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,7,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,"14,392,144.00",3598036,17990180,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,7,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,"14,280,954.00",3570239,17851193,80%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,8,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,"4,132,795.00",4132795,8265590,50%,,
GR,Greece,2014GR05M2OP001,12,Reform of the Public Sector - ESF/ERDF,ESF,9,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,"1,165,051.00",1165051,2330102,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,"19,757,648.00",4939412,24697060,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"2,126,883.00",531721,2658604,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"2,357,149.00",589288,2946437,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,10,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"21,933,571.00",5483393,27416964,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,10,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"5,809,626.00",1452407,7262033,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,10,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"5,891,431.00",1472858,7364289,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,11,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"1,507,824.00",1507824,3015648,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,12,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"441,771.00",441772,883543,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,"405,354,613.00",101338655,506693268,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"136,947,111.00",34236780,171183891,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"112,404,177.00",28101046,140505223,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,"36,983,081.00",9245769,46228850,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"10,532,635.00",2633157,13165792,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"9,043,870.00",2260966,11304836,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,"30,819,234.00",7704809,38524043,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"8,208,877.00",2052220,10261097,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"8,234,409.00",2058603,10293012,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"31,729,241.00",31729241,63458482,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"2,594,894.00",2594894,5189788,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,5,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"10,334,320.00",10334320,20668640,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,5,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"690,082.00",690082,1380164,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"316,983,364.00",79245841,396229205,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"83,437,756.00",20859439,104297195,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"85,643,514.00",21410879,107054393,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"236,647,210.00",59161803,295809013,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"62,291,320.00",15572830,77864150,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"63,938,052.00",15984513,79922565,80%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,8,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"37,184,848.00",37184849,74369697,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,9,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"12,063,969.00",12063969,24127938,50%,,
GR,Greece,2014GR05M9OP001,14,Human Resources Development Education and Lifelong Learning - ESF/YEI,YEI,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,"343,034,058.00",49685038,392719096,8735.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M113,Early retirement,FA_M113,M113,"62,000,000.00",2066666666,8266666666,75%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"60,000,000.00",315789473,6315789473,95%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,"6,922,500.00",101836644,794086644,8718.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"15,000,000.00",79473684,1579473684,9497.00%,,
GR,Greece,2014GR16M2OP010,14,North Aegean - ERDF/ESF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,"5,000,000.00",1250000,6250000,80%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"21,250,000.00",112587719,2237587719,9497.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"351,994,642.00",4455784887,39655249087,8876.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,"22,000,000.00",436002368,2636002368,8346.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"276,800,000.00",1467039998,29147039998,9497.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"25,000,000.00",273646897,2773646897,9013.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,"5,750,000.00",30464912,605464912,9497.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,"40,470,000.00",544081976,4591081976,8815.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"232,000,000.00",2579572021,25779572021,8999.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M05,Restoring agricultural potential,FA_3B,Risk management,"40,000,000.00",58843851,458843851,8718.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M09,Producer groups / organisations,FA_3A,Competitiveness of producers,"25,000,000.00",13245614,263245614,9497.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,"10,000,000.00",147109628,1147109628,8718.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,"111,632,500.00",1642221534,12805471534,8718.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,"24,000,000.00",334237671,2734237671,8778.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,"24,500,000.00",129807017,2579807017,9497.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,"5,100,000.00",72484999,582484999,8756.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,"261,250.00",3843242,29968242,8718.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,"726,179,005.00",1296516958,8558307008,8485.00%,,
GR,Greece,2014GR06RDNP001,13,Greece - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,"160,898,804.00",2839390657,18929271057,85%,,
