MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
FR,France,2014FR16RFOP003,1.2,Interregional Massif Central - ERDF,ERDF,AXE 4,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"576,800.00","576,800.00","1,153,600.00",50%
FR,France,2014FR16RFOP003,1.2,Interregional Massif Central - ERDF,ERDF,AXE 4,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"823,200.00","823,200.00","1,646,400.00",50%
FR,France,2014FR16RFOP004,1.5,Interregional Pyrénées - ERDF,ERDF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"3,708,000.00","3,708,000.00","7,416,000.00",50%
FR,France,2014FR16RFOP004,1.5,Interregional Pyrénées - ERDF,ERDF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"5,292,000.00","5,292,000.00","10,584,000.00",50%
FR,France,2014FR16RFOP004,1.5,Interregional Pyrénées - ERDF,ERDF,2,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"6,231,500.00","6,231,500.00","12,463,000.00",50%
FR,France,2014FR16RFOP004,1.5,Interregional Pyrénées - ERDF,ERDF,2,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Transition,VOID,VOID,VOID,VOID,"8,893,500.00","8,893,500.00","17,787,000.00",50%
FR,France,2014FR16RFOP004,1.5,Interregional Pyrénées - ERDF,ERDF,3,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"360,500.00","360,500.00","721,000.00",50%
FR,France,2014FR16RFOP004,1.5,Interregional Pyrénées - ERDF,ERDF,3,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"514,500.00","514,500.00","1,029,000.00",50%
FR,France,2014FR16RFOP005,1.2,Interregional Rhône - ERDF,ERDF,I,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,"3,798,640.00","3,798,640.00","7,597,280.00",50%
FR,France,2014FR16RFOP005,1.2,Interregional Rhône - ERDF,ERDF,I,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Transition,VOID,VOID,VOID,VOID,"5,421,360.00","5,421,360.00","10,842,720.00",50%
FR,France,2014FR16RFOP005,1.2,Interregional Rhône - ERDF,ERDF,II,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,More developed,VOID,VOID,VOID,VOID,"4,115,880.00","4,115,880.00","8,231,760.00",50%
FR,France,2014FR16RFOP005,1.2,Interregional Rhône - ERDF,ERDF,II,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Transition,VOID,VOID,VOID,VOID,"5,874,120.00","5,874,120.00","11,748,240.00",50%
FR,France,2014FR16RFOP005,1.2,Interregional Rhône - ERDF,ERDF,III,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,"5,273,600.00","5,273,600.00","10,547,200.00",50%
FR,France,2014FR16RFOP005,1.2,Interregional Rhône - ERDF,ERDF,III,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Transition,VOID,VOID,VOID,VOID,"7,526,400.00","7,526,400.00","15,052,800.00",50%
FR,France,2014FR16RFOP005,1.2,Interregional Rhône - ERDF,ERDF,IV,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"407,880.00","407,880.00","815,760.00",50%
FR,France,2014FR16RFOP005,1.2,Interregional Rhône - ERDF,ERDF,IV,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"582,120.00","582,120.00","1,164,240.00",50%
FR,France,2014FR16RFOP006,1.2,Interregional Alsace - ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,"23,783,861.00","35,675,791.00","59,459,652.00",40%
FR,France,2014FR16RFOP006,1.2,Interregional Alsace - ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"15,855,907.00","36,997,116.00","52,853,023.00",30%
FR,France,2014FR16RFOP006,1.2,Interregional Alsace - ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,"17,767,337.00","41,457,119.00","59,224,456.00",30%
FR,France,2014FR16RFOP006,1.2,Interregional Alsace - ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,"26,756,844.00","62,432,635.00","89,189,479.00",30%
FR,France,2014FR16RFOP006,1.2,Interregional Alsace - ERDF,ERDF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"3,043,541.00","3,043,541.00","6,087,082.00",50%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,"136,924,000.00","55,200,643.00","192,124,643.00",71.27%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,2,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,"69,964,000.00","17,491,000.00","87,455,000.00",80%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,"133,135,184.00","122,426,012.00","255,561,196.00",52.1%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,"135,780,000.00","93,884,286.00","229,664,286.00",59.12%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,5,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,"5,990,000.00","2,567,143.00","8,557,143.00",70%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,"151,460,000.00","64,911,428.00","216,371,428.00",70%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,6,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,"166,960,000.00","227,640,000.00","394,600,000.00",42.31%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"64,820,000.00","27,780,000.00","92,600,000.00",70%
GR,Greece,2014GR16M2OP009,2,Ionian Islands - ERDF/ESF,ESF,7,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"478,629.00","119,658.00","598,287.00",80%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,7,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,"51,138,000.00","21,916,286.00","73,054,286.00",70%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,8,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,"78,064,816.00","92,141,217.00","170,206,033.00",45.86%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,8,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,"21,970,000.00","9,415,714.00","31,385,714.00",70%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,8,7,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,"90,250,000.00","60,166,667.00","150,416,667.00",60%
FR,France,2014FR16RFOP007,1.2,Réunion – ERDF,ERDF,9,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"24,000,061.00","4,235,305.00","28,235,366.00",85%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,13,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"2,096,544.00","524,136.00","2,620,680.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,13,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"636,731.00","159,183.00","795,914.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,13,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"363,161.00","90,791.00","453,952.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,14,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"105,096.00","105,096.00","210,192.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,15,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"51,544.00","51,544.00","103,088.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,4,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,"111,815,654.00","27,953,914.00","139,769,568.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,4,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"33,958,978.00","8,489,745.00","42,448,723.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,4,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Transition,VOID,VOID,VOID,VOID,"19,368,573.00","4,842,144.00","24,210,717.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,5,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Transition,VOID,VOID,VOID,VOID,"5,605,111.00","5,605,111.00","11,210,222.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ERDF,6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,"2,748,996.00","2,748,996.00","5,497,992.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,"66,713,492.00","16,678,374.00","83,391,866.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,"17,590,399.00","4,397,600.00","21,987,999.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,"17,454,499.00","4,363,625.00","21,818,124.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,10,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"2,274,324.00","568,581.00","2,842,905.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,10,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"599,673.00","149,919.00","749,592.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,10,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"595,040.00","148,760.00","743,800.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,11,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"172,200.00","172,200.00","344,400.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,12,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"48,544.00","48,544.00","97,088.00",50%
IT,Italy,2014IT05SFOP018,1.2,Trento  - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"2,199,600.00","2,199,600.00","4,399,200.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,2,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,"5,051,195.00","5,051,195.00","10,102,390.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,3,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,"1,423,951.00","1,423,951.00","2,847,902.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,7,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,"54,583,767.00","13,645,942.00","68,229,709.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,7,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,"14,392,144.00","3,598,036.00","17,990,180.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,7,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,"14,280,954.00","3,570,239.00","17,851,193.00",80%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,8,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Transition,VOID,VOID,VOID,VOID,"4,132,795.00","4,132,795.00","8,265,590.00",50%
GR,Greece,2014GR05M2OP001,1.2,Reform of the Public Sector - ESF/ERDF,ESF,9,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,"1,165,051.00","1,165,051.00","2,330,102.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,"19,757,648.00","4,939,412.00","24,697,060.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"2,126,883.00","531,721.00","2,658,604.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"2,357,149.00","589,288.00","2,946,437.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,10,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,"21,933,571.00","5,483,393.00","27,416,964.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,10,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"5,809,626.00","1,452,407.00","7,262,033.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,10,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"5,891,431.00","1,472,858.00","7,364,289.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,11,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"1,507,824.00","1,507,824.00","3,015,648.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,12,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"441,771.00","441,772.00","883,543.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,"405,354,613.00","101,338,655.00","506,693,268.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"136,947,111.00","34,236,780.00","171,183,891.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"112,404,177.00","28,101,046.00","140,505,223.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,"36,983,081.00","9,245,769.00","46,228,850.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"10,532,635.00","2,633,157.00","13,165,792.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"9,043,870.00","2,260,966.00","11,304,836.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,"30,819,234.00","7,704,809.00","38,524,043.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"8,208,877.00","2,052,220.00","10,261,097.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"8,234,409.00","2,058,603.00","10,293,012.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"31,729,241.00","31,729,241.00","63,458,482.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"2,594,894.00","2,594,894.00","5,189,788.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,5,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"10,334,320.00","10,334,320.00","20,668,640.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,5,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"690,082.00","690,082.00","1,380,164.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"316,983,364.00","79,245,841.00","396,229,205.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"83,437,756.00","20,859,439.00","104,297,195.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"85,643,514.00","21,410,879.00","107,054,393.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,"236,647,210.00","59,161,803.00","295,809,013.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"62,291,320.00","15,572,830.00","77,864,150.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,7,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"63,938,052.00","15,984,513.00","79,922,565.00",80%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,8,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"37,184,848.00","37,184,849.00","74,369,697.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,ESF,9,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"12,063,969.00","12,063,969.00","24,127,938.00",50%
GR,Greece,2014GR05M9OP001,1.4,Human Resources Development Education and Lifelong Learning - ESF/YEI,YEI,3,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,"343,034,058.00","49,685,038.00","392,719,096.00",87.35%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M113,Early retirement,FA_M113,M113,"62,000,000.00","20,666,666.66","82,666,666.66",75%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"60,000,000.00","3,157,894.73","63,157,894.73",95%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,"6,922,500.00","1,018,366.44","7,940,866.44",87.18%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"15,000,000.00","794,736.84","15,794,736.84",94.97%
GR,Greece,2014GR16M2OP010,1.4,North Aegean - ERDF/ESF,ERDF,1,1,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,"5,000,000.00","1,250,000.00","6,250,000.00",80%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"21,250,000.00","1,125,877.19","22,375,877.19",94.97%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,"351,994,642.00","44,557,848.87","396,552,490.87",88.76%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,"22,000,000.00","4,360,023.68","26,360,023.68",83.46%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,"276,800,000.00","14,670,399.98","291,470,399.98",94.97%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,"25,000,000.00","2,736,468.97","27,736,468.97",90.13%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,"5,750,000.00","304,649.12","6,054,649.12",94.97%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,"40,470,000.00","5,440,819.76","45,910,819.76",88.15%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,"232,000,000.00","25,795,720.21","257,795,720.21",89.99%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M05,Restoring agricultural potential,FA_3B,Risk management,"40,000,000.00","5,884,385.10","45,884,385.10",87.18%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M09,Producer groups / organisations,FA_3A,Competitiveness of producers,"25,000,000.00","1,324,561.40","26,324,561.40",94.97%
GR,Greece,2014GR06RDNP001,1.3,Greece - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,"10,000,000.00","1,471,096.28","11,471,096.28",87.18%
