name_link,name_link-href,former_employer_text,former_function_text,new_function_text,new_employer_text,policy_area_text,date_of_revovlivng_door_text,institutional_reaction,other_info,page,page-href
"Edgar Meister","https://corporateeurope.org/revolvingdoorwatch/cases/edgar-meister","DWS Investment (investment branch of Deutsche Bank)","Member of the supervisory board","Member of the Administrative Board of Review","European Central Bank","Finance","November, 2014","The ECB has not responded so far.","In November 2014, the European Central Bank starts supervising the biggest banks in the European Union. From now on, the main responsibility for detecting risky banking or outright failing banks rests with that institution. Preparation has been ongoing since the so-called “Single Supervisory Mechanism” was adopted by the Council and the European Parliament in the autumn of 2013. Ethics rules was part of the considerations leading up to the approval, but it seems the ECB was not concerned with people with close ties to the very megabanks the SSM is supposed to supervise.","",""
"Pablo Asbo","https://corporateeurope.org/revolvingdoorwatch/cases/pablo-asbo","DG Competition (for 6 years)","Case-handler","Associate director on competition","Avisa Partners","Competition","March, 2011","""The Appointing Authority gives you its approval to carry out this activity, as described in your request, on condition that you will avoid any situation of conflict of interest in your new function, particularly you will abstain from dealing with cases on which you have worked in the frame of your functions at DG Comp, and more particularly on the cases listed in the attachment”. Attachment lists many cases including Sumitomo Chemicals/ Itochu Corporation/ Tokyo INK Manufacturing Company/ AK&N.","Avisa Partners has assured CEO that Mr Asbo has not and will not work on any cases that he has dealt with at the Commission. Avisa stresses that since March 2010 they have not been doing lobbying consultancy work for Sumitomo Chemicals, one of the companies that Mr Asbo was banned from working for, despite the fact that, at the time, Avisa Partners' declaration on the EU's Transparency Register listed Sumitomo Chemicals as a client. This information was removed from their entry in April 2012. Furthermore, Avisa states that they never worked for Sumitomo on a competition case, and never approached that company with a view to assisting them on a competition case, either before or after the arrival of Mr Asbo.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Parvez Khan","https://corporateeurope.org/revolvingdoorwatch/cases/parvez-khan","UK Permanent Representation in Brussels (for 2 years)","Financial attaché (on loan from UK Financial Services Authority where he worked for 5 years)","Associate","G+ Europe (lobby consultancy)","Finance","September, 2011","None. As a former UK diplomat, Parvez Khan is not subject to the EU revolving door rules.","""As lead attaché on securities and markets, Parvez led negotiations for the UK in the European Council on highly political and technically complex regulatory issues. Some of the high profile issues Parvez has dealt with were legislative initiatives on hedge funds and private equity, short selling, derivatives and markets infrastructure. Parvez was also involved with the development of the new European Supervisory Authorities"". (Source: G+ website)","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Martin Callanan","https://corporateeurope.org/revolvingdoorwatch/cases/martin-callanan","European Parliament","Member of European Parliament (for 15 years)","Consultant","Symphony Environmental Technologies","Environment","November, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Martin Callanan MEP was a conservative MEP and the leader of the European Conservatives and Reformists (ECR) group, the third largest in the European Parliament, until July 2014; he lost his seat in the May elections. He had been a member of the committee on the environment, public health and food safety where he produced numerous reports as rapporteur or shadow rapporteur. Since then he has been made a member of the UK's second chamber, the House of Lords. Callanan was frequently criticised for his close contacts to industry lobbyists, in particular the car industry.","",""
"Magnus Ovilius","https://corporateeurope.org/revolvingdoorwatch/cases/magnus-ovilius","DG Justice, Freedom and Security","Head of Sector, Preparedness and Crisis Management","Senior Vice President Government Relations","Smiths Group","Security","December, 2008","CEO has requested relevant documents relating to this revolving door case, but the Commission has so far refused to release any documents relating to Mr Ovilius's move to Smiths Group plc. On 2 May 2012, the Commission clarified that Mr Ovilius ""objected to the disclosure of these documents"". However, the Commission has confirmed that it approved Mr Ovilius's move, via a sabbatical, to Smiths Group in November 2008 and that they banned him from having contact with colleagues at the former DG Justice, Freedom and Security for a period of six months. This restriction is an automatic requirement of the sabbatical rules. The Commission has also told CEO that they have continued to approve Mr Ovilius's sabbatical every year since 2008. Ovilius returned to the Commission in March 2013.","Since December 2008, Mr Ovilius has been on leave on ""personal grounds"" (or on sabbatical) which is extended by the Commission on a yearly basis. He has the automatic right to return to his old job (or an equivalent one) at the Commission. Mr Ovilius has so far worked for the Commission for a total of 12 years.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Michel Petite","https://corporateeurope.org/revolvingdoorwatch/cases/michel-petite","Legal Service - European Commission","Director-General (for 6 years)","Of Counsel","Clifford Chance","Tobacco","January, 2008","""The activity of being legal counsel can be authorised. You are not authorised to intervene in any affair or dossier for which the Legal Service had connection during the time that you were exercising your functions of Director-General. You will also abstain from having any professional contact with former colleagues. The period is fixed for one year"".","Michel Petite is a former legal adviser to three Commission Presidents: Jacques Delors, Romano Prodi (as head of cabinet), and José Manuel Barroso.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"David Harley","https://corporateeurope.org/revolvingdoorwatch/cases/david-harley","European Parliament (since 1975)","Deputy Secretary-General and Director-General of the Presidency","Senior Adviser and now co-Chairman","Burson-Marsteller Brussels","General","April, 2010","“Parliament's administration confirmed on 15 February 2010 that the position would not be prejudicial to the legimate interest of the institution ... [Harley] undertook, on his own initiative, that he would not have any contact with parliament staff or Members on behalf of BM or its clients for a period of six months following his retirement”","Harley “started his career in the EP in 1975 as an Adviser in the office of the Secretary-General and then held a succession of increasingly senior roles...” (Source: European Agenda)","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Viviane Reding","https://corporateeurope.org/revolvingdoorwatch/cases/viviane-reding","European Commission","Commissioner for Justice","Member of board","Various, including Bertelsmann Foundation + Agfa-Gevaert","General","November, 2014","The Barroso Commission approved Reding's moves to the Bertelsmann Foundation and Nyrstar in its meeting of 29 October 2014. She was told to avoid conflicts of interest ""in particular when projects of the Bertelsmann Foundation involved requesting and/or obtaining Community cofinancing"" and that she should, within 18 months after ceasing to hold office, abstain from lobbying and defending the foundation's interests to the Commission. She was also told to abstain from lobbying and defending Nyrstar's interests to the Commission for 18 months.","Reding had been an EU commissioner since 1999, taking the portfolios of education, media and then finally justice. She left the Commission after becoming an MEP in the May 2014 elections.","",""
"Siim Kallas","https://corporateeurope.org/revolvingdoorwatch/cases/siim-kallas","European Commission","European commissioner for transport (previously transparency)","Consultant","Nortal","General","May, 2015","At its meeting on 15 April 2015, the Commission authorised Siim Kallas to become a consultant at Nortal, as long as he “fulfilled, in all circumstances, his obligations under Articles 245(2) and 339 TFEU and the Code of Conduct for Commissioners, and in particular that he proceeded with integrity and discretion and protected collective responsibility and confidentiality in respect of matters covered by the Commission during his terms of office, and refrained from lobbying the Commission and/or its departments on behalf of Nortal within eighteen months of leaving office.” Documents relating to the Commission's authorisation of this role are here.","Siim Kallas was previously a member of Parliament and a former prime minister of Estonia. He then became a European commissioner for 10 years, latterly for transport but initially for administrative affairs, audit and anti-fraud where he set up the European Transparency Initiative (ETI) which ultimately led to the first Commission lobby register in 2008.","",""
"Glyn Ford","https://corporateeurope.org/revolvingdoorwatch/cases/glyn-ford","European Parliament","Member of European Parliament (for 25 years)","Senior Adviser","G+ and Polint Ltd","Foreign affairs","July, 2009","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent professional activities.","Glyn Ford had 25 years experience as an MEP before he lost his seat in the European elections of 2009. He is standing again on the Labour list in the 2014 elections.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Poppy Kalesi","https://corporateeurope.org/revolvingdoorwatch/cases/poppy-kalesi","DG Energy","Programme manager","EU Regulatory Affairs Advisor (then Senior Consultant, Innovation Strategy)","Statoil","Energy/Climate","September, 2010","The Commission did not screen Poppy Kalesi for conflicts of interest when she took up her post as “EU Regulatory Affairs Advisor” for a fossil fuels giant.","According to Ms Kalesi's LinkedIn profile, after leaving the Commission in September 2010, the same month she joined Statoil's London office as “EU Regulatory Affairs Advisor,” a role which included “Communicating natural gas business strategy to regulators, politicians and civil servants”.","2","https://corporateeurope.org/revolvingdoorwatch?page=1"
"Hervé Jouanjean","https://corporateeurope.org/revolvingdoorwatch/cases/herv-jouanjean","European commission, DG budget","Director-general","Of counsel","Fidal","General","May, 2014","The European commission has told Corporate Europe Observatory that it authorised this move subject to some conditions. In the 12 months after leaving the commission, Jouanjean is not allowed to engage in any lobbying with staff of the commission on behalf of his new employer on issues for which he had been responsible in the previous three years. And for two years after leaving the commission he is to “refrain from any professional contact in relation to new activities with the services that were under his authority” in DG budget. Mr Jouanjean was also asked to ensure that his new employer was aware of these conditions.","Hervé Jouanjean was director-general of DG budget from July 2009 to April 2014 where he apparently provided “strategic guidance and general management to the budget DG”. He had a 20 year+ career at the commission where he was also deputy secretary-general responsible for inter-institutional relations (European parliament and council of ministers of the EU) as well as a director in the commission's international trade department until 2003.","",""
"Chris Davies","https://corporateeurope.org/revolvingdoorwatch/cases/chris-davies","European Parliament","Member of the European Parliament (for 15 years)","Director","Chris Davies Ltd","Energy/Climate","December, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Chris Davies was a prominent Liberal Democrat MEP until he lost his seat in the 2014 European elections. He was a member of the committee on Environment, Public Health and Consumer Policy (ENVI) for the full 15 years of his career as an MEP. The ENVI committee is influential in the development of all EU environmental regulations; it is where reports are drafted, amendments made, text changed, and compromises made.","",""
"Emilie Turunen","https://corporateeurope.org/revolvingdoorwatch/cases/emilie-turunen","European Parliament","Member of European parliament (for 5 years)","Head of public affairs","Nykredit","Finance","September, 2014","None. There is no regulation requiring former MEPs to seek authorisation for their subsequent activities.","Turunen was elected as an MEP in 2009, initially for the Socialist People's Party with 37,300 personal votes, and she was soon elected Vice-President of the Green group in the European parliament.","",""
